Name,Ticker,Industry,PEG_ratio,Market Cap,beta,Growth,Holders,recomendation
"Chipotle Mexican Grill, Inc.",CMG,Consumer Cyclical,1.47,36575739904,1.308333,0.16,0.93244004,buy
Chubb Limited,CB,Financial Services,0.81,79338184704,0.765686,-0.034,0.91293,none
"Church & Dwight Company, Inc.",CHD,Consumer Defensive,4.16,23895001088,0.431372,0.047,0.8668,hold
Cigna Corporation,CI,Healthcare,1.02,90847723520,0.856862,0.093,0.90249,buy
Cincinnati Financial Corporatio,CINF,Financial Services,1.56,18109024256,0.645098,-0.454,0.69055,hold
Cintas Corporation,CTAS,Industrials,2.71,40250658816,1.517647,0.103,0.67496,buy
"Cisco Systems, Inc.",CSCO,Technology,1.97,1.82E+11,0.946568,0.064,0.75448996,buy
"Citigroup, Inc.",C,Financial Services,-0.7,99173810176,1.667647,-0.091,0.79602,buy
"Citizens Financial Group, Inc.",CFG,Financial Services,-3.14,15684159488,,-0.087,0.84352,buy
"Citrix Systems, Inc.",CTXS,Technology,8.82,12787849216,0.030882,0.051,0.88764,hold
Clorox Company (The),CLX,Consumer Defensive,-7.03,18266042368,0.205882,-0.082,0.82019997,hold
Coca-Cola Company (The),KO,Consumer Defensive,3.97,2.70E+11,0.657843,0.163,0.70774,buy
Cognizant Technology Solutions ,CTSH,Technology,1.55,34993987584,1.105392,0.142,0.94297,buy
Colgate-Palmolive Company,CL,Consumer Defensive,6.17,65868652544,0.607352,0.013,0.80289,hold
Comcast Corporation,CMCSA,Communication Services,0.85,1.87E+11,0.931862,0.14,0.86013,buy
Comerica Incorporated,CMA,Financial Services,-0.97,9800765440,1.371078,-0.206,0.8261,buy
"ConAgra Brands, Inc.",Null,Consumer Defensive,17.73,16179943424,0.756372,0.051,0.88421994,hold
ConocoPhillips,COP,Energy,0.54,1.09E+11,1.420588,1.771,0.80521005,buy
"Consolidated Edison, Inc.",ED,Utilities,4.07,33040156672,0.221078,0.154,0.67893,underperform
"Constellation Brands, Inc.",STZ,Consumer Defensive,2.27,45851004928,1.198039,0.077,0.8561,buy
Constellation Energy Corporatio,CEG,Utilities,,,,0.277,0.7959,buy
"Copart, Inc.",CPRT,Consumer Cyclical,1.09,27511435264,1.123529,0.406,0.85647005,buy
Corning Incorporated,Null,Technology,0.69,28333146112,0.948529,0.119,0.70304,buy
"Corteva, Inc.",CTVA,Basic Materials,1.23,37903265792,0.706639,0.085,0.83096004,buy
Costco Wholesale Corporation,COST,Consumer Defensive,3.15,2.32E+11,0.669117,0.159,0.68764997,buy
Coterra Energy Inc.,CTRA,Energy,0.09,21901518848,-0.189215,4.191,0.94558,buy
Crown Castle International Corp,CCI,Real Estate,3.36,74943995904,0.575,0.173,0.93008006,buy
Cummins Inc.,CMI,Industrials,1.37,28085764096,1.041666,0.003,0.84809,buy
"D.R. Horton, Inc.",DHI,Consumer Cyclical,0.4,26165055488,1.648529,0.241,0.80103,buy
D/B/A Royal Caribbean Cruises L,Null,Consumer Cyclical,-0.16,8346919936,2.514705,27.773,0.76473,buy
DBA Sempra,Null,Utilities,2.73,48296529920,0.645098,0.212,0.88839996,buy
DENTSPLY SIRONA Inc.,Null,Healthcare,1.67,7631570432,0.868627,0.006,1.01912,hold
DISH Network Corporation,Null,Communication Services,-0.23,9386234880,1.996078,-0.024,0.86293,buy
DTE Energy Company,DTE,Utilities,6.19,24250746880,0.662745,0.278,0.72998,buy
DXC Technology Company,DXC,Technology,0.26,7249349120,2.241666,-0.046,0.88808,hold
DaVita Inc.,DVA,Healthcare,,8085462016,1.195402,-0.001,0.88886,hold
Danaher Corporation,DHR,Healthcare,2.11,1.83E+11,0.779901,0.121,0.80125,buy
"Darden Restaurants, Inc.",DRI,Consumer Cyclical,0.58,15196525568,1.406372,0.413,0.93594,buy
Deere & Company,Null,Industrials,0.82,90987839488,1.085142,0.109,0.80674005,buy
"Delta Air Lines, Inc.",DAL,Industrials,-0.43,19293648896,1.193699,0.94,0.66125,buy
Devon Energy Corporation,DVN,Energy,0.27,35684667392,2.784803,0.74,0.85138,buy
"DexCom, Inc.",Null,Healthcare,3.24,7670407168,0.929411,0.245,0.97471,buy
"Diamondback Energy, Inc. - Comm",FANG,Energy,0.34,19773440000,2.292647,1.63,0.94067,buy
"Digital Realty Trust, Inc.",DLR,Real Estate,4.46,34332553216,0.341666,0.113,0.98723,buy
Discover Financial Services,DFS,Financial Services,0.12,30482835456,1.567647,-0.13,0.87068003,buy
Dollar General Corporation,DG,Consumer Defensive,1.95,55419043840,0.425713,0.042,0.97226,buy
"Dollar Tree, Inc.",DLTR,Consumer Defensive,1.03,37783609344,0.754901,0.046,1.0462201,buy
"Dominion Energy, Inc.",D,Utilities,3.1,64144707584,0.421568,0.102,0.69578004,buy
Domino's Pizza Inc,DPZ,Consumer Cyclical,2.56,14784098304,0.619117,0.028,0.98622,buy
Dover Corporation,DOV,Industrials,1.19,17354510336,1.382352,0.099,0.94461,buy
Dow Inc.,DOW,Basic Materials,-1.26,36647874560,1.483339,0.285,0.66399,hold
"DuPont de Nemours, Inc.",DD,Basic Materials,1.25,28288477184,1.208333,0.139,0.76161003,buy
Duke Energy Corporation (Holdin,DUK,Utilities,3.31,82710364160,0.349084,0.16,0.63438,buy
Duke Realty Corporation,DRE,Real Estate,11.17,21719873536,0.730392,-0.036,0.98737997,none
"EOG Resources, Inc.",EOG,Energy,0.77,56917553152,1.778921,1.047,0.90667,buy
"EPAM Systems, Inc.",EPAM,Technology,1.77,17161081856,1.811274,0.531,0.92961,buy
Eastman Chemical Company,EMN,Basic Materials,1.24,11920794624,1.484313,0.127,0.91877,buy
"Eaton Corporation, PLC",ETN,Industrials,1.21,51415416832,1.198039,0.024,0.84002,buy
Ecolab Inc.,ECL,Basic Materials,2.28,44469465088,1.092156,0.132,0.91156,hold
Edison International,EIX,Utilities,3.18,23387136000,0.695588,0.055,0.88474,buy
Edwards Lifesciences Corporatio,EW,Healthcare,2.65,62077530112,1.147549,0.102,0.86039,buy
Electronic Arts Inc.,EA,Communication Services,1.28,34830635008,0.82745,0.069,0.92187,buy
Eli Lilly and Company,LLY,Healthcare,3.57,3.15E+11,0.36739,0.148,0.84052,buy
Emerson Electric Company,EMR,Industrials,1.64,47417638912,1.455882,0.075,0.75977,buy
"Enphase Energy, Inc.",ENPH,Technology,2.12,26295697408,1.25,0.462,0.735,buy
Entergy Corporation,ETR,Utilities,3.13,22132027392,0.636764,0.012,0.9196,buy
"Equifax, Inc.",EFX,Industrials,1.7,23475623936,1.50049,0.124,0.9871,buy
"Equinix, Inc.",EQIX,Real Estate,3.09,55803035648,0.455882,0.087,0.94997,buy
Equity Residential,EQR,Real Estate,9.75,26746140672,0.808333,0.093,0.94242996,hold
"Essex Property Trust, Inc.",ESS,Real Estate,6.85,17277556736,0.770098,0.083,0.98163,buy
"Estee Lauder Companies, Inc. (T",EL,Consumer Defensive,2.61,88381382656,1.075,0.141,0.91165,buy
"Etsy, Inc.",ETSY,Consumer Cyclical,0.73,10459432960,1.631372,0.162,0.92305,buy
"Everest Re Group, Ltd.",RE,Financial Services,0.14,10361133056,0.619607,0.07,0.97069,none
"Evergy, Inc.",EVRG,Utilities,3.87,15017671680,0.496078,0.025,0.93862,buy
Eversource Energy (D/B/A),ES,Utilities,3.3,28762812416,0.45098,0.111,0.79962,hold
Exelon Corporation,EXC,Utilities,2.39,43271004160,0.588235,0.187,0.87738,buy
"Expedia Group, Inc.",EXPE,Consumer Cyclical,0.77,13993610240,1.542156,1.477,1.02383,buy
Expeditors International of Was,EXPD,Industrials,-0.78,16403389440,0.873529,0.81,0.9399,hold
Extra Space Storage Inc,EXR,Real Estate,4.99,22704066560,0.42549,0.211,0.96589,buy
Exxon Mobil Corporation,XOM,Energy,,3.56E+11,1.051936,0.525,0.56931996,buy
"F5, Inc.",FFIV,Technology,1.96,9082157056,1.106372,-0.017,0.98319,buy
FIRST REPUBLIC BANK,FRC,Financial Services,1.14,27932760064,1.124019,0.206,0.9721,buy
FMC Corporation,FMC,Basic Materials,1.87,12790444032,0.874509,0.227,0.89811,buy
FactSet Research Systems Inc.,FDS,Financial Services,1.94,15118124032,0.812745,0.1,0.91747004,hold
Fastenal Company,FAST,Industrials,4.27,27630831616,1.304901,0.203,0.79916,hold
FedEx Corporation,FDX,Industrials,0.52,57718194176,1.316666,0.099,0.74459,buy
Federal Realty Investment Trust,FRT,Real Estate,7.76,7551027200,1.154411,0.171,0.91148,buy
Fidelity National Information S,FIS,Technology,0.91,57982984192,0.738725,0.107,0.93309,buy
Fifth Third Bancorp,FITB,Financial Services,1.75,23027752960,1.312745,-0.137,0.81538004,buy
FirstEnergy Corp.,FE,Utilities,-7.21,21364946944,0.345588,0.096,0.87848,buy
"Fiserv, Inc.",FISV,Technology,0.94,62167445504,0.814215,0.102,0.93338996,buy
"FleetCor Technologies, Inc.",FLT,Technology,0.87,17024910336,1.310784,0.3,0.95568,buy
Ford Motor Company,F,Consumer Cyclical,0.09,47475331072,1.098039,-0.048,0.59564996,hold
"Fortinet, Inc.",FTNT,Technology,2.52,9845969920,1.144117,0.288,0.68724996,buy
Fortive Corporation,FTV,Technology,0.49,19685931008,1.20049,0.093,0.90015,buy
"Fortune Brands Home & Security,",FBIN,Consumer Cyclical,1.26,8536311296,1.623529,0.083,0.88512003,buy
Fox Corporation,FOXA,Communication Services,2.72,18477869056,0.941705,0.087,0.57493997,none
Fox Corporation,FOXA,Communication Services,1.5,18555793408,0.941705,0.087,1.0302501,buy
"Franklin Resources, Inc.",BEN,Financial Services,-11.54,12354193408,1.174509,0.115,0.47535,hold
"Freeport-McMoRan, Inc.",FCX,Basic Materials,-0.25,37915893760,2.004901,0.361,0.81425005,buy
Garmin Ltd.,GRMN,Technology,1.41,19212967936,1.02647,0.094,0.56447,none
"Gartner, Inc.",IT,Technology,1.65,19794104320,1.581372,0.174,0.93446,buy
Generac Holdlings Inc.,GNRC,Industrials,1.29,13568135168,0.999019,0.402,0.90293,buy
General Dynamics Corporation,GD,Industrials,1.68,59410280448,0.992647,0,0.86050004,buy
General Electric Company,GE,Industrials,0.47,69029085184,0.964705,-0.002,0.68851995,buy
"General Mills, Inc.",GIS,Consumer Defensive,4.37,45192265728,0.502941,0.004,0.77429,hold
General Motors Company,GM,Consumer Cyclical,1.74,47722635264,1.203921,0.108,0.84573,buy
Genuine Parts Company,GPC,Consumer Cyclical,3.59,19731142656,1.107843,0.186,0.80009,hold
"Gilead Sciences, Inc.",GILD,Healthcare,-7.04,78524186624,0.415686,0.026,0.86394,buy
Global Payments Inc.,GPN,Industrials,0.68,33309337600,1.060294,0.137,0.8815,buy
Globe Life Inc.,GL,Financial Services,0.84,9978744832,1.013235,0.033,0.80057,hold
"Goldman Sachs Group, Inc. (The)",GS,Financial Services,-1,98028560384,1.453431,-0.304,0.71638,buy
"HCA Healthcare, Inc.",HCA,Healthcare,1.68,53374660608,1.606862,0.069,0.71352994,buy
HP Inc.,HPQ,Technology,2.4,34278914048,1.00098,0.088,0.77942,hold
Halliburton Company,HAL,Energy,0.3,24937932800,2.439215,0.241,0.81448,buy
Hartford Financial Services Gro,Null,Financial Services,0.77,21438834688,1.019607,0.018,0.93824,buy
"Hasbro, Inc.",HAS,Consumer Cyclical,0.99,10926782464,0.95098,0.043,0.78145,buy
"Healthpeak Properties, Inc.",PEAK,Real Estate,25.5,14134467584,0.748529,0.119,0.9908,buy
"Henry Schein, Inc.",HSIC,Healthcare,2.3,10612720640,0.716666,0.052,0.98710996,hold
Hess Corporation,HES,Energy,0.19,29489108992,1.769607,0.21,0.83247,buy
Hewlett Packard Enterprise Comp,HPE,Technology,1.21,17163949056,1.17696,0.019,0.84219,buy
Hilton Worldwide Holdings Inc.,HLT,Consumer Cyclical,0.66,32426514432,1.259313,1.016,1.04666,buy
"Hologic, Inc.",HOLX,Healthcare,7.68,17747806208,1.122058,-0.066,0.98182,buy
"Home Depot, Inc. (The)",Null,Consumer Cyclical,1.23,3.05E+11,1.044607,0.107,0.71719,buy
Honeywell International Inc.,HON,Industrials,2.09,1.19E+11,1.15,-0.009,0.75475,buy
Hormel Foods Corporation,HRL,Consumer Defensive,3.2,25929420800,0.098039,0.237,0.42900002,hold
Host Hotels,Null,Real Estate,0.93,11395998720,1.294607,2.776,1.0457801,buy
Howmet Aerospace Inc.,HWM,Industrials,0.93,14234903552,1.440196,0.038,0.95909,buy
Humana Inc.,HUM,Healthcare,1.25,62665465856,0.938725,0.16,0.97807,buy
Huntington Bancshares Incorpora,HBAN,Financial Services,-4.41,18446495744,1.212254,0.141,0.82058,buy
"Huntington Ingalls Industries, ",HII,Industrials,0.99,8197682688,0.895588,-0.029,0.87705004,hold
IDEX Corporation,IEX,Industrials,2.02,14161627136,1.105392,0.152,1.04865,buy
"IDEXX Laboratories, Inc.",Null,Healthcare,3.97,31385503744,1.003431,0.111,0.89556,buy
"IQVIA Holdings, Inc.",IQV,Healthcare,1.32,41853042688,1.457352,0.047,0.90975,buy
Illinois Tool Works Inc.,ITW,Industrials,2.24,56693182464,1.112254,0.059,0.81283,hold
"Illumina, Inc.",ILMN,Healthcare,37.51,29573523456,0.930882,0.258,0.89255995,hold
Incyte Corporation,INCY,Healthcare,1.52,17677907968,0.724019,0.093,0.9517,buy
Ingersoll Rand Inc.,IR,Industrials,0.98,16710984704,1.489331,0.164,0.99121004,buy
Intel Corporation,INTC,Technology,3.72,1.57E+11,0.549019,-0.067,0.64538,hold
Intercontinental Exchange Inc.,ICE,Financial Services,2.21,53991010304,0.844607,0.101,0.90542,buy
International Business Machines,Null,Technology,1.06,1.25E+11,1.104901,0.077,0.57352,hold
International Flavors & Fragran,Null,Basic Materials,4.8,29522362368,1.05049,1.387,0.95247,none
International Paper Company,IP,Consumer Cyclical,0.52,16234064896,0.95147,0.14,0.89321,hold
"Interpublic Group of Companies,",Null,Communication Services,2.05,11033015296,0.998039,0.098,1.02914,buy
Intuit Inc.,INTU,Technology,1.82,1.11E+11,1.115686,0.696,0.871,buy
"Intuitive Surgical, Inc.",ISRG,Healthcare,4.44,75348426752,1.169607,0.151,0.87034,buy
Invesco Ltd,IVZ,Financial Services,6.39,7490001920,1.190686,-0.018,0.90164,none
Iron Mountain Incorporated (Del,IRM,Real Estate,5.14,12983422976,0.883333,0.153,0.81527,buy
"J.B. Hunt Transport Services, I",JBHT,Industrials,0.8,17598246912,1.036274,0.332,0.76021004,buy
J.M. Smucker Company (The) New,SJM,Consumer Defensive,10.52,14281158656,0.299019,-0.009,0.84463996,hold
JP Morgan Chase & Co.,Null,Financial Services,1.48,3.42E+11,1.094117,-0.197,0.71735,buy
"Jack Henry & Associates, Inc.",JKHY,Technology,2.63,14066309120,0.589215,0.169,0.95932996,hold
Jacobs Engineering Group Inc.,Null,Industrials,1.33,16239878144,0.858823,0,0.87507004,buy
Johnson & Johnson,JNJ,Healthcare,3.17,4.69E+11,0.719607,0.05,0.70428,buy
Johnson Controls International ,JCI,Industrials,0.93,33040216064,1.169117,0.098,0.96782994,none
"Juniper Networks, Inc.",JNPR,Technology,1.17,9274162176,0.892647,0.087,0.92386,hold
KLA Corporation,KLAC,Technology,0.8,46548455424,1.287356,0.269,0.92028,buy
Kellogg Company,Null,Consumer Defensive,6.88,24714360832,0.568627,-0.013,0.87353,hold
Keurig Dr Pepper Inc.,KDP,Consumer Defensive,3.09,51939872768,0.601149,0.061,0.52551997,buy
KeyCorp,KEY,Financial Services,15.51,16312136704,1.322549,-0.125,0.86143994,hold
Keysight Technologies Inc.,KEYS,Technology,1.83,26282999808,1.055882,0.059,0.86933,buy
Kimberly-Clark Corporation,KMB,Consumer Defensive,3.68,45349040128,0.507352,0.074,0.76789004,hold
Kimco Realty Corporation,KIM,Real Estate,6.99,12402532352,1.47647,0.513,0.95024,buy
"Kinder Morgan, Inc.",KMI,Energy,-6.14,38002126848,0.940196,-0.176,0.60355,hold
Kroger Company (The),KR,Consumer Defensive,1.76,34167990272,0.530864,0.08,0.82698995,hold
"L3Harris Technologies, Inc.",LHX,Industrials,0.45,43923001344,0.760784,-0.102,0.80627996,none
LKQ Corporation,LKQ,Consumer Cyclical,0.37,14559976448,1.639215,0.056,1.00756,strong_buy
Laboratory Corporation of Ameri,Null,Healthcare,-0.97,23399606272,1.044607,-0.063,0.92053,buy
Lam Research Corporation,LRCX,Technology,1.04,60139479040,1.247058,0.055,0.83744,buy
"Lamb Weston Holdings, Inc.",LW,Consumer Defensive,2.23,10750604288,0.684803,0.066,0.86480004,buy
Las Vegas Sands Corp.,LVS,Consumer Cyclical,-0.19,26380574720,1.332352,-0.212,0.38069,buy
"Leidos Holdings, Inc.",LDOS,Technology,,13487172608,0.723286,0.054,0.83263,buy
Lennar Corporation,LEN,Consumer Cyclical,0.19,22207623168,1.466155,0.3,0.94746,buy
Lincoln National Corporation,LNC,Financial Services,0.2,8504165376,1.97598,0.113,0.77342004,buy
Linde plc,LIN,Basic Materials,,1.39E+11,0.896551,0.134,0.81447,buy
"Live Nation Entertainment, Inc.",LYV,Communication Services,1.57,18979276800,1.27696,10.387,0.74864995,buy
Lockheed Martin Corporation,LMT,Industrials,2.01,1.10E+11,0.792156,-0.08,0.7768,buy
Loews Corporation,L,Financial Services,,14320461824,0.889215,-0.004,0.6193,hold
"Lowe's Companies, Inc.",LOW,Consumer Cyclical,1.16,1.18E+11,1.247765,-0.031,0.79560995,buy
